# Native language names
# extracted from http://td.unfoldingword.org/exports/langnames.json

aa	Afaraf
mpp	Migabac
mpq	Matís
mpr	Vangunu
mps	Dadibi
mpt	Mian
mpu	Makuráp
mpv	Mungkip
mpw	Mapidian
mpx	Misima-Panaeati
mpz	Mpi
mqa	Maba (Indonesia)
mqb	Mbuko
mqc	Mangole
mqe	Matepi
mqf	Momuna
mqg	Kota Bangun Kutai Malay
mqh	Tlazoyaltepec Mixtec
mqi	Mariri
mqj	Mamasa
mqk	Rajah Kabunsuwan Manobo
mql	Mbelime
mqm	South Marquesan
mqn	Moronene
mqo	Modole
mqp	Manipa
mqq	Minokok
mqr	Mander
mqs	West Makian
mqt	Mok
mqu	Mandari
mqv	Mosimo
mqw	Murupi
mqx	Mamuju
mqy	Manggarai
mqz	Pano
mr	मराठी
mra	Mlabri
mrb	Marino
mrc	Maricopa
mrd	Western Magar
mre	Martha's Vineyard Sign Language
mrf	Elseng
mrg	Mising
mrh	Mara Chin
mrj	Western Mari
mrk	Hmwaveke
mrl	Mortlockese
mrm	Merlav
mrn	Cheke Holo
mro	Mru
mrp	Morouas
mrq	North Marquesan
mrr	Maria (India)
mrs	Maragus
mrt	Marghi Central
mru	Mono (Cameroon)
mrv	Mangareva
mrw	Maranao
mrx	Maremgi
mry	Mandaya
mrz	Marind
ms	bahasa Melayu, بهاس ملايو‎
msb	Masbatenyo
msc	Sankaran Maninka
msd	Yucatec Maya Sign Language
mse	Musey
msf	Mekwei
msg	Moraid
msh	Masikoro Malagasy
msi	Sabah Malay
msj	Ma (Democratic Republic of Congo)
msk	Mansaka
msl	Molof
msm	Agusan Manobo
msn	Vurës
mso	Mombum
msq	Caac
msr	Mongolian Sign Language
mss	West Masela
msu	Musom
msv	Maslam
msw	Mansoanka
msx	Moresada
msy	Aruamu
msz	Momare
mt	Malti
mta	Cotabato Manobo
mtb	Anyin Morofo
mtc	Munit
mtd	Mualang
mte	Mono (Solomon Islands)
mtf	Murik (Papua New Guinea)
mtg	Una
mth	Munggui
mti	Maiwa (Papua New Guinea)
mtj	Moskona
mtk	Mbe'
mtl	Montol
mtm	Mator
mtn	Matagalpa
mto	Totontepec Mixe
mtp	Wichí Lhamtés Nocten
mtq	Muong
mtr	Mewari
mts	Yora
mtt	Mota
mtu	Tututepec Mixtec
mtv	Asaro'o
mtw	Southern Binukidnon
mtx	Tidaá Mixtec
mty	Nabi
mua	Mundang
mub	Mubi
muc	Ajumbu
mud	Mednyj Aleut
mue	Media Lengua
mug	Musgu
muh	Mündü
mui	Musi
muj	Mabire
muk	Mugom
mul	Multiple languages
mum	Maiwala
muo	Nyong
mup	Malvi
muq	Eastern Xiangxi Miao
mur	Murle
mus	Creek
mut	Western Muria
muu	Yaaku
muv	Muthuvan
mux	Bo-Ung
muy	Muyang
muz	Mursi
mva	Manam
mvb	Mattole
mvd	Mamboru
mve	Marwari (Pakistan)
mvf	Peripheral Mongolian
mvg	Yucuañe Mixtec
mvh	Mulgi
mvi	Miyako
mvk	Mekmek
mvm	Muya
mvn	Minaveha
mvo	Marovo
mvp	Duri
mvq	Moere
mvr	Marau
mvs	Massep
mvt	Mpotovoro
mvu	Marfa
mvv	Tagal Murut
mvw	Machinga
mvx	Meoswar
mvy	Indus Kohistani
mvz	Mesqan
mwa	Mwatebu
mwb	Juwal
mwc	Are
mwe	Mwera (Chimwera)
mwf	Murrinh-Patha
mwg	Aiklep
mwh	Mouk-Aria
mwi	Labo
mwk	Kita Maninkakan
mwl	Mirandese
mwm	Sar
mwn	Nyamwanga
mwo	Central Maewo
mwp	Kala Lagaw Ya
mwq	Mün Chin
mwr	Marwari
mws	Mwimbi-Muthambi
mwt	Moken
mwv	Mentawai
mww	Hmong Daw
mwx	Mediak
mwz	Moingi
mxa	Northwest Oaxaca Mixtec
mxb	Tezoatlán Mixtec
mxc	Manyika
mxd	Modang
mxe	Mele-Fila
mxf	Malgbe
mxg	Mbangala
mxh	Mvuba
mxi	Mozarabic
mxj	Miju-Mishmi
mxk	Monumbo
mxl	Maxi Gbe
mxm	Meramera
mxn	Moi (Indonesia)
mxo	Mbowe
mxp	Tlahuitoltepec Mixe
mxq	Juquila Mixe
mxr	Murik (Malaysia)
mxs	Huitepec Mixtec
mxt	Jamiltepec Mixtec
mxu	Mada (Cameroon)
mxv	Metlatónoc Mixtec
mxw	Namo
mxx	Mahou
mxy	Southeastern Nochixtlán Mixtec
mxz	Central Masela
my	ဗမာစာ
myb	Mbay
myc	Mayeka
myd	Maramba
mye	Myene
myf	Bambassi
myg	Manta
myh	Makah
myi	Mina (India)
myj	Mangayat
myk	Mamara Senoufo
myl	Moma
mym	Me'en
myo	Anfillo
myp	Pirahã
myr	Muniche
myu	Mundurukú
myv	Erzya
myw	Muyuw
myx	Masaaba
myy	Macuna
myz	Classical Mandaic
mza	Santa María Zacatepec Mixtec
mzb	Tumzabt
mzc	Madagascar Sign Language
mzd	Malimba
mze	Morawa
mzg	Monastic Sign Language
mzh	Wichí Lhamtés Güisnay
mzi	Ixcatlán Mazatec
mzj	Manya
mzk	Nigeria Mambila
mzl	Mazatlán Mixe
mzm	Mumuye
mzn	Mazanderani
mzo	Matipuhy
mzp	Movima
mzq	Mori Atas
mzr	Marúbo
mzs	Macanese
mzt	Mintil
mzu	Inapang
mzv	Manza
mzw	Deg
mzx	Mawayana
mzy	Mozambican Sign Language
mzz	Maiadomu
na	Ekakairũ Naoero
naa	Namla
nab	Southern Nambikuára
nac	Narak
nad	Nijadali
naf	Nabak
nag	Naga Pidgin
naj	Nalu
nak	Nakanai
nal	Nalik
nam	Ngan'gityemerri
nan	Min Nan Chinese
nao	Naaba
nap	Neapolitan
naq	Khoekhoe
nar	Iguta
nas	Naasioi
nat	Ca̱hungwa̱rya̱
naw	Nawuri
nax	Nakwi
nay	Narrinyeri
naz	Coatepec Nahuatl
nb	Norsk bokmål
nba	Nyemba
nbb	Ndoe
nbc	Chang Naga
nbd	Ngbinda
nbe	Konyak Naga
nbh	Ngamo
nbi	Mao Naga
nbj	Ngarinman
nbk	Nake
nbm	Ngbaka Ma'bo
nbn	Kuri
nbo	Nkukoli
nbp	Nnam
nbq	Nggem
nbr	Numana-Nunku-Gbantu-Numbu
nbs	Namibian Sign Language
nbt	Na
nbu	Rongmei Naga
nbv	Ngamambo
nbw	Southern Ngbandi
nby	Ningera
nca	Iyo
ncb	Central Nicobarese
ncc	Ponam
ncd	Nachering
nce	Yale
ncf	Notsi
ncg	Nisga'a
nch	Central Huasteca Nahuatl
nci	Classical Nahuatl
ncj	Northern Puebla Nahuatl
nck	Nakara
ncl	Michoacán Nahuatl
ncm	Nambo
ncn	Nauna
nco	Sibe
ncp	Ndaktup
ncr	Ncane
ncs	Nicaraguan Sign Language
nct	Chothe Naga
ncu	Chumburung
ncx	Central Puebla Nahuatl
ncz	Natchez
nd	isiNdebele
nda	Ndasa
ndb	Kenswei Nsei
ndc	Ndau
ndd	Nde-Nsele-Nta
ndf	Nadruvian
ndg	Ndengereko
ndh	Ndali
ndi	Samba Leko
ndj	Ndamba
ndk	Ndaka
ndl	Ndolo
ndm	Ndam
ndn	Ngundi
ndp	Ndo
ndq	Ndombe
ndr	Ndoola
nds	Low German
ndt	Ndunga
ndu	Dugun
ndv	Ndut
ndw	Ndobo
ndx	Nduga
ndy	Lutos
ndz	Ndogo
ne	नेपाली
nea	Eastern Ngad'a
neb	Toura (Côte d'Ivoire)
nec	Nedebang
ned	Nde-Gbite
nee	Nêlêmwa-Nixumwak
nef	Nefamese
neg	Negidal
neh	Nyenkha
nei	Neo-Hittite
nej	Neko
nek	Neku
nem	Nemi
nen	Nengone
neo	Ná-Meo
neq	North Central Mixe
ner	Yahadian
nes	Bhoti Kinnauri
net	Nete
neu	Neo
nev	Nyaheun
new	Newari
nex	Neme
ney	Neyo
nez	Nez Perce
nfa	Dhao
nfd	Ahwai
nfl	Ayiwo
nfr	Nafaanra
nfu	Mfumte
ng	Owambo
nga	Ngbaka
ngb	Northern Ngbandi
ngc	Ngombe (Democratic Republic of Congo)
ngd	Ngando (Central African Republic)
nge	Ngemba
ngg	Ngbaka Manza
ngh	N/u
ngi	Ngizim
ngj	Ngie
ngk	Dalabon
ngl	Lomwe
ngm	Ngatik Men's Creole
ngn	Ngwo
ngo	Ngoni
ngp	Ngulu
ngq	Ngurimi
ngr	Engdewu
ngs	Gvoko
ngt	Ngeq
ngu	Guerrero Nahuatl
ngw	Ngwaba
ngx	Nggwahyi
ngy	Tibea
ngz	Ngungwel
nha	Nhanda
nhb	Beng
nhc	Tabasco Nahuatl
nhd	Chiripá
nhe	Eastern Huasteca Nahuatl
nhf	Nhuwala
nhg	Tetelcingo Nahuatl
nhh	Nahari
nhi	Zacatlán-Ahuacatlán-Tepetzintla Nahuatl
nhk	Isthmus-Cosoleacaque Nahuatl
nhm	Morelos Nahuatl
nhn	Central Nahuatl
nho	Takuu
nhp	Isthmus-Pajapan Nahuatl
nhq	Huaxcaleca Nahuatl
nhr	Naro
nht	Ometepec Nahuatl
nhu	Noone
nhv	Temascaltepec Nahuatl
nhw	Western Huasteca Nahuatl
nhx	Isthmus-Mecayapan Nahuatl
nhy	Northern Oaxaca Nahuatl
nhz	Santa María La Alta Nahuatl
nia	Nias
nib	Nakame
nid	Ngandi
nie	Niellim
nif	Nek
nih	Nyiha (Tanzania)
nii	Nii
nij	Ngaju
nik	Southern Nicobarese
nim	Nilamba
nin	Ninzo
nio	Nganasan
niq	Nandi
nir	Nimboran
nis	Nimi
nit	Southeastern Kolami
niu	Niuean
niv	Gilyak
niw	Nimo
nix	Hema
niy	Ngiti
niz	Ningil
nja	Nzanyi
njb	Nocte Naga
njd	Ndonde Hamba
njh	Lotha Naga
nji	Gudanji
njj	Njen
njl	Njalgulgule
njm	Angami Naga
njn	Liangmai Naga
njo	Ao Naga
njr	Njerep
njs	Nisa
njt	Ndyuka-Trio Pidgin
njx	Kunyi
njy	Njyem
njz	Nyishi
nka	Nkoya
nkb	Khoibu Naga
nkc	Nkongho
nkd	Koireng
nke	Duke
nkf	Inpui Naga
nkg	Nekgini
nkh	Khezha Naga
nki	Thangal Naga
nkj	Nakai
nkk	Nokuku
nkm	Namat
nkn	Nkangala
nko	Nkonya
nkp	Niuatoputapu
nkq	Nkami
nkr	Nukuoro
nks	North Asmat
nkt	Nyika (Tanzania)
nku	Bouna Kulango
nkv	Nyika (Malawi and Zambia)
nkw	Nkutu
nkx	Nkoroo
nkz	Nkari
nl	Nederlands, Vlaams
nla	Ngombale
nlc	Nalca
nle	East Nyala
nlg	Gela
nli	Grangali
nlj	Nyali
nlk	Ninia Yali
nll	Nihali
nlo	Ngul
nlq	Lao Naga
nlu	Nchumbulu
nlv	Orizaba Nahuatl
nlx	Nahali
nly	Nyamal
nlz	Nalögo
nma	Maram Naga
nmb	Big Nambas
nmc	Ngam
nmd	Ndumu
nme	Mzieme Naga
nmf	Tangkhul Naga (India)
nmg	Kwasio
nmh	Monsang Naga
nmi	Nyam
nmj	Ngombe (Central African Republic)
nmk	Namakura
nml	Ndemli
nmm	Manangba
nmn	!Xóõ
nmo	Moyon Naga
nmq	Nambya
nmr	Nimbari
nms	Letemboi
nmt	Namonuito
nmu	Northeast Maidu
nmw	Nimoa
nmx	Nama (Papua New Guinea)
nmy	Namuyi
nmz	Nawdm
nn	Norsk nynorsk
nna	Nyangumarta
nnb	Nande
nnc	Nancere
nnd	West Ambae
nne	Ngandyera
nnf	Ngaing
nng	Maring Naga
nnh	Ngiemboon
nni	North Nuaulu
nnj	Nyangatom
nnk	Nankina
nnl	Northern Rengma Naga
nnm	Namia
nnn	Ngete
nnp	Wancho Naga
nnq	Ngindo
nnr	Narungga
nns	Ningye
nnt	Nanticoke
nnu	Dwang
nnw	Southern Nuni
nnz	Nda'nda'
no	Norsk
noa	Woun Meu
noc	Nuk
nod	Northern Thai
noe	Nimadi
nof	Nomane
nog	Nogai
noh	Nomu
noi	Noiri
noj	Nonuya
nok	Nooksack
nol	Nomlaki
nom	Nocamán
non	Old Norse
nop	Numanggang
noq	Ngongo
nos	Eastern Nisu
not	Nomatsiguenga
nou	Ewage-Notu
nov	Novial
now	Nyambo
noy	Noy
noz	Nayi
npa	Nar Phu
npb	Nupbikha
npg	Ponyo-Gongwang Naga
nph	Phom Naga
npi	Nepali (individual language)
npl	Southeastern Puebla Nahuatl
npn	Mondropolon
npo	Pochuri Naga
nps	Nipsan
npu	Puimei Naga
npy	Napu
nqg	Southern Nago
nqk	Kura Ede Nago
nqm	Ndom
nqn	Nen
nqo	N'Ko
nqq	Kyan-Karyaw Naga
nqy	Akyaung Ari Naga
nr	isiNdebele
nra	Ngom
nrb	Nara
nrc	Noric
nre	Southern Rengma Naga
nrf	Jèrriais
nrg	Narango
nri	Chokri Naga
nrk	Ngarla
nrl	Ngarluma
nrm	Narom
nrn	Norn
nrp	North Picene
nrt	Northern Kalapuya
nru	Narua
nrz	Lala
nsa	Sangtam Naga
nsc	Nshi
nsd	Southern Nisu
nse	Nsenga
nsf	Northwestern Nisu
nsg	Ngasa
nsh	Ngoshie
nsi	Nigerian Sign Language
nsk	Naskapi
nsl	Norwegian Sign Language
nsm	Sumi Naga
nsn	Nehan
nso	Pedi
nsp	Nepalese Sign Language
nsq	Northern Sierra Miwok
nsr	Maritime Sign Language
nss	Nali
nst	Tase Naga
nsu	Sierra Negra Nahuatl
nsv	Southwestern Nisu
nsw	Navut
nsx	Nsongo
nsy	Nasal
nsz	Nisenan
nte	Nathembo
nti	Natioro
ntj	Ngaanyatjarra
ntk	Ikoma-Nata-Isenye
ntm	Nateni
nto	Ntomba
ntp	Northern Tepehuan
ntr	Delo
ntu	Natügu
ntw	Nottoway
ntx	Tangkhul Naga (Myanmar)
nty	Mantsi
ntz	Natanzi
nua	Yuanga
nuc	Nukuini
nud	Ngala
nue	Ngundu
nuf	Nusu
nuh	Ndunda
nui	Ngumbi
nuj	Nyole
nuk	Nuu-chah-nulth
nul	Nusa Laut
num	Niuafo'ou
nun	Anong
nuo	Nguôn
nup	Nupe-Nupe-Tako
nuq	Nukumanu
nur	Nukuria
nus	Nuer
nut	Nung (Viet Nam)
nuu	Ngbundu
nuv	Northern Nuni
nuw	Nguluwan
nux	Mehek
nuy	Nunggubuyu
nuz	Tlamacazapa Nahuatl
nv	Diné bizaad
nvh	Nasarian
nvm	Namiae
nvo	Nyokon
nwa	Nawathinehena
nwb	Nyabwa
nwc	Classical Newari
nwe	Ngwe
nwi	Southwest Tanna
nwm	Nyamusa-Molo
nwr	Nawaru
nwx	Middle Newar
nwy	Nottoway-Meherrin
nxa	Nauete
nxd	Ngando (Democratic Republic of Congo)
nxe	Nage
nxg	Ngad'a
nxi	Nindi
nxk	Koki Naga
nxl	South Nuaulu
nxm	Numidian
nxo	Ndambomo
nxq	Naxi
nxr	Ninggerum
nxu	Narau
nxx	Nafri
ny	chiCheŵa, chinyanja
nyb	Nyangbo
nyc	Nyanga-li
nyd	Nyore
nye	Nyengo
nyf	Giryama
nyg	Nyindu
nyh	Nyigina
nyi	Ama (Sudan)
nyj	Nyanga
nyk	Nyaneka
nyl	Nyeu
nym	Nyamwezi
nyn	Nyankole
nyo	Nyoro
nyp	Nyang'i
nyq	Nayini
nyr	Nyiha (Malawi)
nys	Nyunga
nyu	Nyungwe
nyw	Nyaw
nyy	Nyakyusa-Ngonde
nza	Tigon Mbembe
nzb	Njebi
nzi	Nzima
nzk	Nzakara
nzm	Zeme Naga
nzs	New Zealand Sign Language
nzu	Teke-Nzikou
nzy	Nzakambay
nzz	Nanga Dama Dogon
oaa	Orok
oac	Oroch
oar	Old Aramaic (up to 700 BCE)
oav	Old Avar
obi	Obispeño
obk	Southern Bontok
obl	Oblo
obm	Moabite
obo	Obo Manobo
obr	Old Burmese
obt	Old Breton
obu	Obulom
oc	occitan, lenga d'òc
oca	Ocaina
och	Old Chinese
oco	Old Cornish
ocu	Atzingo Matlatzinca
oda	Odut
odk	Od
odt	Old Dutch
odu	Odual
ofo	Ofo
ofs	Old Frisian
ofu	Efutop
ogb	Ogbia
ogc	Ogbah
oge	Old Georgian
ogg	Ogbogolo
ogo	Khana
ogu	Ogbronuagum
oht	Old Hittite
ohu	Old Hungarian
oia	Oirata
oin	Inebu One
oj	ᐊᓂᔑᓈᐯᒧᐎᓐ
ojb	Northwestern Ojibwa
ojc	Central Ojibwa
ojg	Eastern Ojibwa
ojp	Old Japanese
ojs	Severn Ojibwa
ojv	Ontong Java
ojw	Western Ojibwa
oka	Okanagan
okb	Okobo
okd	Okodia
oke	Okpe (Southwestern Edo)
okh	Koresh-e Rostam
oki	Okiek
okk	Kwamtim One
okl	Old Kentish Sign Language
okm	Middle Korean (10th-16th cent.)
okn	Oki-No-Erabu
oko	Old Korean (3rd-9th cent.)
okr	Kirike
oks	Oko-Eni-Osayen
oku	Oku
okv	Orokaiva
okx	Okpe (Northwestern Edo)
ola	Walungge
old	Mochi
ole	Olekha
olk	Olkol
olm	Oloma
olo	Livvi
olr	Olrat
olt	Old Lithuanian
om	Afaan Oromoo
oma	Omaha-Ponca
omb	East Ambae
omc	Mochica
omg	Omagua
omi	Omi
omk	Omok
oml	Ombo
omn	Minoan
omo	Utarmbung
omp	Old Manipuri
omr	Old Marathi
omt	Omotik
omw	South Tairora
omx	Old Mon
onb	Lingao
one	Oneida
ong	Olo
oni	Onin
onj	Onjob
onk	Kabore One
onn	Onobasulu
ono	Onondaga
onp	Sartang
onr	Northern One
ons	Ono
ont	Ontenu
onu	Unua
onw	Old Nubian
onx	Onin Based Pidgin
ood	Tohono O'odham
oog	Ong
oon	Önge
oor	Oorlams
oos	Old Ossetic
opa	Okpamheri
opk	Kopkaka
opm	Oksapmin
opo	Opao
opy	Ofayé
or	ଓଡ଼ିଆ
ora	Oroha
orc	Orma
ore	Orejón
org	Oring
orh	Oroqen
orn	Orang Kanaq
oro	Orokolo
orr	Oruma
ors	Orang Seletar
ort	Adivasi Oriya
oru	Ormuri
orv	Old Russian
orw	Oro Win
orx	Oro
ory	Oriya (individual language)
orz	Ormu
os	ирон æвзаг
osa	Osage
osc	Oscan
osi	Osing
oso	Ososo
osp	Old Spanish
ost	Osatu
osu	Southern One
osx	Old Saxon
ota	Ottoman Turkish (1500-1928)
otb	Old Tibetan
otd	Ot Danum
ote	Mezquital Otomi
otk	Old Turkish
otl	Tilapa Otomi
otm	Eastern Highland Otomi
otn	Tenango Otomi
otq	Querétaro Otomi
otr	Otoro
ots	Estado de México Otomi
ott	Temoaya Otomi
otw	Ottawa
otx	Texcatepec Otomi
oty	Old Tamil
otz	Ixtenco Otomi
oua	Tagargrent
oub	Glio-Oubi
oue	Oune
oui	Old Uighur
owi	Owiniga
owl	Old Welsh
oyb	Oy
oyd	Oyda
oym	Wayampi
oyy	Oya'oya
ozm	Koonzime
pa	ਪੰਜਾਬੀ, پنجابی‎
pab	Parecís
pac	Pacoh
pad	Paumarí
pae	Pagibete
paf	Paranawát
pag	Pangasinan
pah	Tenharim
pai	Pe
pak	Parakanã
pal	Pahlavi
pam	Pampanga
pao	Northern Paiute
pap	Papiamento
paq	Parya
par	Panamint
pas	Papasena
pat	Papitalai
pau	Palauan
pav	Pakaásnovos
paw	Pawnee
pax	Pankararé
pay	Pech
paz	Pankararú
pbb	Páez
pbc	Patamona
pbe	Mezontla Popoloca
pbf	Coyotepec Popoloca
pbg	Paraujano
pbh	E'ñapa Woromaipu
pbi	Parkwa
pbl	Mak (Nigeria)
pbn	Kpasam
pbo	Papel
pbp	Badyara
pbr	Pangwa
pbs	Central Pame
pbt	Southern Pashto
pbu	Northern Pashto
pbv	Pnar
pby	Pyu (Papua New Guinea)
pca	Santa Inés Ahuatempan Popoloca
pcb	Pear
pcc	Bouyei
pcd	Picard
pce	Ruching Palaung
pcf	Paliyan
pcg	Paniya
pch	Pardhan
pci	Duruwa
pcj	Parenga
pck	Paite Chin
pcl	Pardhi
pcm	Nigerian Pidgin
pcn	Piti
pcp	Pacahuara
pcw	Pyapun
pda	Anam
pdc	Pennsylvania German
pdi	Pa Di
pdn	Podena
pdo	Padoe
pdt	Plautdietsch
pdu	Kayan
pea	Peranakan Indonesian
peb	Eastern Pomo
ped	Mala (Papua New Guinea)
pee	Taje
pef	Northeastern Pomo
peg	Pengo
peh	Bonan
pei	Chichimeca-Jonaz
pej	Northern Pomo
pek	Penchal
pel	Pekal
pem	Phende
peo	Old Persian (ca. 600-400 B.C.)
pep	Kunja
peq	Southern Pomo
pes	Iranian Persian
pex	Petats
pey	Petjo
pez	Eastern Penan
pfa	Pááfang
pfe	Peere
pfl	Pfaelzisch
pga	Sudanese Creole Arabic
pgd	Gāndhārī
pgg	Pangwali
pgi	Pagi
pgk	Rerep
pgl	Primitive Irish
pgn	Paelignian
pgs	Pangseng
pgu	Pagu
pha	Pa-Hng
phd	Phudagi
phg	Phuong
phh	Phukha
phk	Phake
phl	Phalura
phm	Phimbi
phn	Phoenician
pho	Phunoi
phq	Phana'
phr	Pahari-Potwari
pht	Phu Thai
phu	Phuan
phv	Pahlavani
phw	Phangduwali
pi	पाऴि
pia	Pima Bajo
pib	Yine
pic	Pinji
pid	Piaroa
pie	Piro
pif	Pingelapese
pig	Pisabo
pih	Pitcairn-Norfolk
pii	Pini
pil	Yom
pim	Powhatan
pin	Piame
pio	Piapoco
pip	Pero
pir	Piratapuyo
pis	Pijin
piu	Pintupi-Luritja
piv	Pileni
piw	Pimbwe
pix	Piu
piy	Piya-Kwonci
piz	Pije
pjt	Pitjantjatjara
pka	Ardhamāgadhī Prākrit
pkb	Pokomo
pkc	Paekche
pkg	Pak-Tong
pkh	Pankhu
pkn	Pakanha
pko	Pökoot
pkp	Pukapuka
pkr	Attapady Kurumba
pks	Pakistan Sign Language
pkt	Maleng
pku	Paku
pl	język polski, polszczyzna
pla	Miani
plb	Polonombauk
plc	Central Palawano
pld	Polari
ple	Palu'e
plg	Pilagá
plh	Paulohi
plj	Polci
plk	Kohistani Shina
pll	Shwe Palaung
pln	Palenquero
plo	Oluta Popoluca
plq	Palaic
plr	Palaka Senoufo
pls	San Marcos Tlacoyalco Popoloca
plt	Plateau Malagasy
plu	Palikúr
plv	Southwest Palawano
plw	Brooke's Point Palawano
ply	Bolyu
plz	Paluan
pma	Paama
pmb	Pambia
pme	Pwaamei
pmf	Pamona
pmh	Māhārāṣṭri Prākrit
pmi	Northern Pumi
pmj	Southern Pumi
pmk	Pamlico
pmm	Pomo
pmn	Pam
pmo	Pom
pmq	Northern Pame
pmr	Paynamar
pms	Piemontese
pmt	Tuamotuan
pmw	Plains Miwok
pmx	Poumei Naga
pmy	Papuan Malay
pna	Punan Bah-Biau
pnb	Western Panjabi
pnc	Pannei
pne	Western Penan
png	Pongu
pnh	Penrhyn
pni	Aoheng
pnk	Paunaka
pnl	Paleni
pnm	Punan Batu 1
pnn	Pinai-Hagahai
pnp	Pancana
pnq	Pana (Burkina Faso)
pnr	Panim
pns	Ponosakan
pnt	Pontic
pnu	Jiongnai Bunu
pnv	Pinigura
pnw	Panytyima
pnx	Phong-Kniang
pny	Pinyin
pnz	Pana (Central African Republic)
poc	Poqomam
poe	San Juan Atzingo Popoloca
pof	Poke
pog	Potiguára
poh	Poqomchi'
poi	Highland Popoluca
pok	Pokangá
pom	Southeastern Pomo
pon	Pohnpeian
poo	Central Pomo
pop	Pwapwâ
poq	Texistepec Popoluca
pos	Sayula Popoluca
pot	Potawatomi
pov	Upper Guinea Crioulo
pow	San Felipe Otlaltepec Popoloca
pox	Polabian
poy	Pogolo
ppa	Pao
ppe	Papi
ppi	Paipai
ppk	Uma
ppl	Pipil
ppm	Papuma
ppn	Papapana
ppo	Folopa
ppp	Pelende
ppq	Pei
pps	San Luís Temalacayuca Popoloca
ppt	Pare
pqa	Pa'a
pqm	Malecite-Passamaquoddy
prb	Lua'
prc	Parachi
prd	Parsi-Dari
pre	Principense
prf	Paranan
prg	Prussian
prh	Porohanon
pri	Paicî
prk	Parauk
prl	Peruvian Sign Language
prm	Kibiri
prn	Prasuni
pro	Old Provençal (to 1500)
prp	Parsi
prq	Ashéninka Perené
prs	Dari
prt	Phai
pru	Puragi
prw	Parawen
prx	Purik
pry	Pray 3
prz	Providencia Sign Language
ps	پښتو
psa	Asue Awyu
psc	Persian Sign Language
psd	Plains Indian Sign Language
pse	Central Malay
psg	Penang Sign Language
psh	Southwest Pashai
psi	Southeast Pashai
psl	Puerto Rican Sign Language
psm	Pauserna
psn	Panasuan
pso	Polish Sign Language
psp	Philippine Sign Language
psq	Pasi
psr	Portuguese Sign Language
pss	Kaulong
pst	Central Pashto
psu	Sauraseni Prākrit
psw	Port Sandwich
pt	português
pt-br	Português
pta	Pai Tavytera
pth	Pataxó Hã-Ha-Hãe
pti	Pintiini
ptn	Patani
pto	Zo'é
ptp	Patep
ptq	Pattapu
ptr	Piamatsina
ptt	Enrekang
ptu	Bambam
ptv	Port Vato
ptw	Pentlatch
pty	Pathiya
pua	Western Highland Purepecha
pub	Purum
puc	Punan Merap
pud	Punan Aput
puf	Punan Merah
pug	Phuie
pui	Puinave
puj	Punan Tubu
puk	Pu Ko
pum	Puma
puo	Puoc
pup	Pulabu
puq	Puquina
pur	Puruborá
put	Putoh
puu	Punu
puw	Puluwatese
pux	Puare
puy	Purisimeño
pwa	Pawaia
pwb	Panawa
pwg	Gapapaiwa
pwi	Patwin
pwm	Molbog
pwn	Paiwan
pwo	Pwo Western Karen
pwr	Powari
pww	Pwo Northern Karen
pxm	Quetzaltepec Mixe
pye	Pye Krumen
pym	Fyam
pyn	Poyanáwa
pys	Paraguayan Sign Language
pyu	Puyuma
pyx	Pyu (Myanmar)
pyy	Pyen
pzn	Para Naga
qu	Runa Simi, Kichwa
qua	Quapaw
qub	Huallaga Huánuco Quechua
quc	K'iche'
qud	Calderón Highland Quichua
quf	Lambayeque Quechua
qug	Chimborazo Highland Quichua
quh	South Bolivian Quechua
qui	Quileute
quk	Chachapoyas Quechua
qul	North Bolivian Quechua
qum	Sipacapense
qun	Quinault
qup	Southern Pastaza Quechua
quq	Quinqui
qur	Yanahuanca Pasco Quechua
qus	Santiago del Estero Quichua
quv	Sacapulteco
quw	Tena Lowland Quichua
qux	Yauyos Quechua
quy	Ayacucho Quechua
quz	Cusco Quechua
qva	Ambo-Pasco Quechua
qvc	Cajamarca Quechua
qve	Eastern Apurímac Quechua
qvh	Huamalíes-Dos de Mayo Huánuco Quechua
qvi	Imbabura Highland Quichua
qvj	Loja Highland Quichua
qvl	Cajatambo North Lima Quechua
qvm	Margos-Yarowilca-Lauricocha Quechua
qvn	North Junín Quechua
qvo	Napo Lowland Quechua
qvp	Pacaraos Quechua
qvs	San Martín Quechua
qvw	Huaylla Wanca Quechua
qvy	Queyu
qvz	Northern Pastaza Quichua
qwa	Corongo Ancash Quechua
qwc	Classical Quechua
qwh	Huaylas Ancash Quechua
qwm	Kuman (Russia)
qws	Sihuas Ancash Quechua
qwt	Kwalhioqua-Tlatskanai
qxa	Chiquián Ancash Quechua
qxc	Chincha Quechua
qxh	Panao Huánuco Quechua
qxl	Salasaca Highland Quichua
qxn	Northern Conchucos Ancash Quechua
qxo	Southern Conchucos Ancash Quechua
qxp	Puno Quechua
qxq	Qashqa'i
qxr	Cañar Highland Quichua
qxs	Southern Qiang
qxt	Santa Ana de Tusi Pasco Quechua
qxu	Arequipa-La Unión Quechua
qxw	Jauja Wanca Quechua
qya	Quenya
qyp	Quiripi
raa	Dungmali
rab	Camling
rac	Rasawa
rad	Rade
raf	Western Meohang
rag	Logooli
rah	Rabha
rai	Ramoaaina
raj	Rajasthani
rak	Tulu-Bohuai
ral	Ralte
ram	Canela
ran	Riantana
rao	Rao
rap	Rapanui
raq	Saam
rar	Rarotongan
